user_id,event_timestamp,intensity_score,category_tier,metadata
user_0013,2024-01-04 01:02:31.068319088,6.169409788874752,bronze,"{""base_score"":6.16941,""is_void"":true}"
user_0116,2024-01-01 12:16:10.855808569,5.584329371928644,bronze,"{""base_score"":5.584329,""is_void"":false}"
user_0098,2024-01-01 06:09:26.062321917,5.929162606331941,bronze,"{""base_score"":5.929163,""is_void"":true}"
user_0065,2024-01-01 05:10:19.924255380,5.40297350026206,gold,"{""base_score"":5.402974,""is_void"":false}"
user_0064,2024-01-01 03:28:34.244512741,6.0416246322734946,bronze,"{""base_score"":6.041625,""is_void"":false}"
user_0128,2024-01-01 05:54:13.650580378,5.837174367346606,platinum,"{""base_score"":5.837174,""is_void"":false}"
user_0012,2024-01-03 12:41:18.412429308,4.766655154046208,gold,"{""base_score"":4.766655,""is_void"":false}"
user_0104,2024-01-04 14:07:53.036942534,5.270061636822524,platinum,"{""base_score"":5.270062,""is_void"":false}"
user_0030,2024-01-01 06:03:17.277418807,4.956300196518021,silver,"{""base_score"":4.9563,""is_void"":false}"
user_0014,2024-01-01 10:27:34.912401318,7.617640902210559,VIP,"{""base_score"":7.617641,""is_void"":false}"
user_0078,2024-01-01 15:25:08.067904413,4.653788994193244,bronze,"{""base_score"":4.653789,""is_void"":false}"
user_0146,2024-01-01 13:16:02.060071186,4.888428339159479,silver,"{""base_score"":4.888428,""is_void"":false}"
user_0110,2024-01-01 08:22:10.390765792,5.0100687435836315,silver,"{""base_score"":5.010069,""is_void"":false}"
user_0114,2024-01-01 02:10:25.986414914,7.382260719786728,VIP,"{""base_score"":7.382261,""is_void"":false}"
user_0107,2024-01-01 15:25:38.982388389,5.733994307880003,silver,"{""base_score"":5.733994,""is_void"":false}"
user_0117,2024-01-04 16:17:50.790752941,6.077847905858013,platinum,"{""base_score"":6.077848,""is_void"":true}"
user_0076,2024-01-01 04:23:34.200049311,4.489103636715509,bronze,"{""base_score"":4.489104,""is_void"":true}"
user_0019,2024-01-01 14:55:04.344175002,6.318992212180615,VIP,"{""base_score"":6.318992,""is_void"":true}"
user_0125,2024-01-01 02:55:05.648755026,6.5568011904349435,silver,"{""base_score"":6.556801,""is_void"":true}"
user_0067,2024-01-01 11:28:19.810622146,5.498849209051224,silver,"{""base_score"":5.498849,""is_void"":true}"
user_0075,2024-01-01 05:52:17.613946261,6.116749669706147,VIP,"{""base_score"":6.11675,""is_void"":false}"
user_0055,2024-01-03 08:12:55.868413557,6.491913050774913,silver,"{""base_score"":6.491913,""is_void"":false}"
user_0027,2024-01-01 10:47:46.863580426,5.293741204694043,silver,"{""base_score"":5.293741,""is_void"":false}"
user_0139,2024-01-01 12:40:31.465422022,6.72953126764256,silver,"{""base_score"":6.729531,""is_void"":false}"
user_0117,2024-01-04 21:23:59.289429962,6.428547486684163,bronze,"{""base_score"":6.428547,""is_void"":false}"
user_0096,2024-01-03 10:42:41.766568063,5.955917934812324,silver,"{""base_score"":5.955918,""is_void"":true}"
user_0060,2024-01-01 03:40:23.170249945,4.4109489236683554,bronze,"{""base_score"":4.410949,""is_void"":false}"
user_0123,2024-01-03 08:24:00.135386150,7.216108254657558,bronze,"{""base_score"":7.216108,""is_void"":false}"
user_0081,2024-01-01 10:26:37.612489520,6.981752009493089,platinum,"{""base_score"":6.981752,""is_void"":false}"
user_0066,2024-01-01 12:58:21.087735456,6.110146221684833,silver,"{""base_score"":6.110146,""is_void"":false}"
user_0067,2024-01-01 14:32:07.853386778,6.1923312622997715,silver,"{""base_score"":6.192331,""is_void"":false}"
user_0034,2024-01-01 01:55:26.133289366,6.739397123724114,silver,"{""base_score"":6.739397,""is_void"":false}"
user_0013,2024-01-04 07:53:45.034282236,6.972869700054774,silver,"{""base_score"":6.97287,""is_void"":false}"
user_0083,2024-01-01 05:11:50.599593319,5.0594392398444175,gold,"{""base_score"":5.059439,""is_void"":true}"
user_0133,2024-01-01 13:36:51.001234135,6.844584593960891,VIP,"{""base_score"":6.844585,""is_void"":true}"
user_0009,2024-01-01 10:24:58.613172706,6.0853997960049,VIP,"{""base_score"":6.0854,""is_void"":true}"
user_0128,2024-01-01 07:22:12.196300810,6.665161041316667,silver,"{""base_score"":6.665161,""is_void"":true}"
user_0124,2024-01-01 09:10:29.078737237,5.442425674145278,silver,"{""base_score"":5.442426,""is_void"":false}"
user_0041,2024-01-01 05:55:03.470098087,6.259271134045935,silver,"{""base_score"":6.259271,""is_void"":false}"
user_0094,2024-01-01 10:21:55.561236328,5.575361310645688,silver,"{""base_score"":5.575361,""is_void"":true}"
user_0024,2024-01-01 10:18:49.773944253,5.0656042321918955,silver,"{""base_score"":5.065604,""is_void"":false}"
user_0113,2024-01-01 08:03:09.842752962,4.763530809152287,gold,"{""base_score"":4.763531,""is_void"":false}"
user_0105,2024-01-01 07:35:52.078231950,6.1432879985838245,silver,"{""base_score"":6.143288,""is_void"":false}"
user_0053,2024-01-01 01:35:56.863954669,6.985971132654459,silver,"{""base_score"":6.985971,""is_void"":false}"
user_0010,2024-01-01 05:14:40.895206512,5.6351695683234695,silver,"{""base_score"":5.63517,""is_void"":false}"
user_0145,2024-01-01 10:38:27.166992723,6.255479067744904,silver,"{""base_score"":6.255479,""is_void"":false}"
user_0066,2024-01-01 23:05:40.049213269,6.31704355751603,bronze,"{""base_score"":6.317044,""is_void"":false}"
user_0133,2024-01-01 22:14:21.586019686,5.097844737070164,bronze,"{""base_score"":5.097845,""is_void"":false}"
user_0101,2024-01-01 11:34:54.263886668,4.668572580311943,gold,"{""base_score"":4.668573,""is_void"":false}"
user_0116,2024-01-01 17:31:09.371124656,4.435756685189853,silver,"{""base_score"":4.435757,""is_void"":false}"
user_0113,2024-01-01 13:13:05.530997974,4.034410619615672,bronze,"{""base_score"":4.034411,""is_void"":true}"
user_0029,2024-01-01 06:51:51.873152130,3.540866639775977,silver,"{""base_score"":3.540867,""is_void"":false}"
user_0054,2024-01-01 04:17:54.062307693,7.1849329400591255,gold,"{""base_score"":7.184933,""is_void"":false}"
user_0070,2024-01-01 07:33:46.963265662,5.53398611112466,bronze,"{""base_score"":5.533986,""is_void"":false}"
user_0074,2024-01-01 02:13:17.893987003,6.402519696918557,platinum,"{""base_score"":6.40252,""is_void"":false}"
user_0006,2024-01-01 01:25:23.854737576,5.026814046688687,VIP,"{""base_score"":5.026814,""is_void"":false}"
user_0081,2024-01-01 16:35:57.956647361,4.416195825002946,silver,"{""base_score"":4.416196,""is_void"":true}"
user_0023,2024-01-01 05:51:42.707588475,6.015962002198217,gold,"{""base_score"":6.015962,""is_void"":false}"
user_0111,2024-01-01 04:51:38.929087508,6.832085230082088,bronze,"{""base_score"":6.832085,""is_void"":false}"
user_0102,2024-01-01 08:00:20.286907196,6.102281476850434,VIP,"{""base_score"":6.102281,""is_void"":false}"
user_0138,2024-01-01 04:03:19.224850330,6.787075957864277,silver,"{""base_score"":6.787076,""is_void"":false}"
user_0111,2024-01-01 07:39:32.402321168,6.372131475612561,VIP,"{""base_score"":6.372131,""is_void"":false}"
user_0054,2024-01-01 11:28:58.841557985,5.703900243757802,silver,"{""base_score"":5.7039,""is_void"":false}"
user_0145,2024-01-05 08:25:42.718366645,6.386554607228112,bronze,"{""base_score"":6.386555,""is_void"":false}"
user_0061,2024-01-03 20:40:24.772443826,4.544955532052482,bronze,"{""base_score"":4.544956,""is_void"":true}"
user_0048,2024-01-01 14:43:08.359196073,5.483131436915419,gold,"{""base_score"":5.483131,""is_void"":false}"
user_0135,2024-01-01 07:57:15.790764600,6.819809952267736,silver,"{""base_score"":6.81981,""is_void"":true}"
user_0055,2024-01-03 09:48:19.115097353,5.144966338366196,bronze,"{""base_score"":5.144966,""is_void"":false}"
user_0011,2024-01-01 13:44:27.143792257,6.51887655722575,gold,"{""base_score"":6.518877,""is_void"":false}"
user_0070,2024-01-01 12:23:04.674166928,5.893545181380463,platinum,"{""base_score"":5.893545,""is_void"":true}"
user_0119,2024-01-01 10:56:59.025086127,6.944589513602498,silver,"{""base_score"":6.94459,""is_void"":false}"
user_0028,2024-01-01 08:50:51.069880197,5.13875151014927,silver,"{""base_score"":5.138752,""is_void"":false}"
user_0069,2024-01-01 10:18:04.368959276,5.426711499375709,bronze,"{""base_score"":5.426711,""is_void"":false}"
user_0019,2024-01-01 21:55:07.938221566,6.188395239341282,gold,"{""base_score"":6.188395,""is_void"":false}"
user_0102,2024-01-01 11:53:25.245082082,5.158617568239812,silver,"{""base_score"":5.158618,""is_void"":true}"
user_0071,2024-01-01 13:09:15.732425412,6.2927027304280205,platinum,"{""base_score"":6.292703,""is_void"":true}"
