user_id,event_timestamp,intensity_score,category_tier
user_0013,2024-01-01 09:54:41.183295364,6.246704706102442,bronze
user_0116,2024-01-01 12:11:06.450035654,7.30146971169566,silver
user_0098,2024-01-04 13:23:51.497588734,3.5911478558812795,bronze
user_0065,2024-01-01 02:39:40.517193405,6.004584107360586,bronze
user_0064,2024-01-04 12:17:21.507617450,5.021955044310916,silver
user_0128,2024-01-01 14:20:22.299941428,5.228674758920741,silver
user_0012,2024-01-01 11:28:22.273214757,5.387068913706875,platinum
user_0104,2024-01-01 11:38:03.004027166,4.615331403199758,bronze
user_0030,2024-01-01 02:22:24.231056012,6.901019631304141,gold
user_0014,2024-01-01 04:31:12.302334926,4.434849114723805,silver
user_0078,2024-01-01 12:08:05.963362112,6.459565028314646,silver
user_0146,2024-01-01 09:33:39.452730494,4.97026278026758,silver
user_0110,2024-01-01 03:07:09.620422705,4.4396565858499,silver
user_0114,2024-01-01 13:53:42.736267068,5.271623819838258,platinum
user_0107,2024-01-01 06:40:11.388352652,5.975843676314313,bronze
user_0117,2024-01-01 01:58:00.701352566,5.028058923206689,bronze
user_0076,2024-01-01 04:27:05.570319096,5.792948088194556,silver
user_0019,2024-01-01 11:35:29.323449207,6.454806527390329,gold
user_0125,2024-01-01 01:04:29.188125901,6.401546321741521,bronze
user_0067,2024-01-01 10:31:59.229820545,5.322449806448054,silver
user_0075,2024-01-01 14:51:51.140718669,4.91103247234054,gold
user_0055,2024-01-01 07:42:38.739931423,6.342357735451206,gold
user_0027,2024-01-01 15:37:51.833486614,6.63296697478082,platinum
user_0139,2024-01-01 10:38:16.397945980,4.940391776818072,silver
user_0117,2024-01-01 06:41:49.133102520,4.938805570483104,silver
user_0096,2024-01-01 02:27:47.414165742,4.994443066283861,bronze
user_0060,2024-01-01 12:44:33.260373013,5.876963774163525,platinum
user_0123,2024-01-01 08:25:58.879424236,5.593689642686162,silver
user_0081,2024-01-01 03:16:29.840274091,6.588332639582177,gold
user_0066,2024-01-01 05:02:54.564573642,4.64972929759293,silver
user_0067,2024-01-01 18:09:41.887802778,4.308401920976765,silver
user_0034,2024-01-01 14:14:31.703935808,5.28430283448786,gold
user_0013,2024-01-01 17:36:06.896133776,6.085243936115034,silver
user_0083,2024-01-01 03:43:44.919584943,5.461886228744695,platinum
user_0133,2024-01-01 07:43:36.746162518,4.295394017345181,silver
user_0009,2024-01-04 22:18:31.118439276,5.406045830854465,silver
user_0128,2024-01-02 02:11:34.505062385,4.876296295395591,bronze
user_0124,2024-01-01 14:36:07.591694698,6.37485673502157,silver
user_0041,2024-01-01 10:09:51.768634500,4.571576346090882,silver
user_0094,2024-01-01 05:00:34.182115772,5.8902089570030345,bronze
user_0024,2024-01-01 02:42:30.991760226,6.25713604447719,bronze
user_0113,2024-01-01 12:42:49.625515663,4.669718052214591,silver
user_0105,2024-01-01 05:44:38.870367990,5.722354679377409,silver
user_0053,2024-01-01 07:48:15.165636548,5.108531552421574,silver
user_0010,2024-01-01 14:47:10.704910300,5.996460298485291,bronze
user_0145,2024-01-01 14:44:27.149890297,4.317425223458984,bronze
user_0066,2024-01-01 20:31:01.949613204,6.150258092573943,bronze
user_0133,2024-01-01 09:26:20.315023903,5.216227647576959,gold
